id,наименование_задачи,тип_задачи,технологический_стек,срок_выполнения_дней,цена_руб,ценовой_диапазон
290,Сбор вакансий с hh.ru,Парсинг данных,Python+requests,4,3000,до 5 000 ₽
291,Парсер новостей,Парсинг данных,Scrapy,7,8000,5 000–15 000 ₽
292,Прогноз оттока клиентов,ML-модель,PyTorch,21,19000,15 000–30 000 ₽
293,Webhook-интеграция с Telegram,Написание API,Kotlin+Ktor,13,14000,5 000–15 000 ₽
294,Вёрстка административной панели,Вёрстка,Next.js+SCSS,7,13600,5 000–15 000 ₽
295,Приложение для записи к врачу,Мобильное приложение,Flutter+Firebase,36,59700,30 000–60 000 ₽
296,Сбор отзывов с Google Maps,Парсинг данных,Python+BeautifulSoup,1,4000,до 5 000 ₽
297,Дашборд с графиками,UI-компонент,Vue.js,10,8000,5 000–15 000 ₽
298,Оптимизация запроса аналитики,Оптимизация SQL,PostgreSQL,9,5700,5 000–15 000 ₽
299,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Sketch,18,6000,5 000–15 000 ₽
300,Мониторинг цен конкурентов,Парсинг данных,Python+Selenium,1,13300,5 000–15 000 ₽
301,Многопользовательский чат,Fullstack-разработка,React+Spring Boot,47,91500,60 000–120 000 ₽
302,Дизайн email-шаблона,UI/UX Дизайн,Figma,12,17500,15 000–30 000 ₽
303,Вёрстка главной страницы по макету Figma,Вёрстка,React+CSS Modules,11,12000,5 000–15 000 ₽
304,Автобэкапы PostgreSQL,CI/CD и DevOps,Terraform+AWS,8,13500,5 000–15 000 ₽
305,API авторизации JWT и OAuth,Написание API,Go+Gin,16,29000,15 000–30 000 ₽
306,API управления заказами,Написание API,Node.js+Express,16,18000,15 000–30 000 ₽
307,Продающий лендинг для SaaS,Лендинг,Next.js,21,12000,5 000–15 000 ₽
308,Вёрстка формы wizard,Вёрстка,Vue.js+CSS,9,3800,до 5 000 ₽
309,API авторизации JWT и OAuth,Написание API,Django REST,7,7700,5 000–15 000 ₽
310,MVP приложения доставки еды,Мобильное приложение,Swift (iOS),58,107400,60 000–120 000 ₽
311,Вёрстка мобильного меню,Вёрстка,React+CSS Modules,14,12000,5 000–15 000 ₽
312,Вёрстка страницы оформления заказа,Вёрстка,React+CSS Modules,9,5000,5 000–15 000 ₽
313,API для мобильного приложения,Написание API,Node.js+Express,6,6700,5 000–15 000 ₽
314,Маркетплейс для мастеров,Интернет-магазин,1C-Bitrix,40,42000,30 000–60 000 ₽
315,API интеграции с 1С,Написание API,FastAPI+PostgreSQL,7,9000,5 000–15 000 ₽
316,Приложение трекинга тренировок,Мобильное приложение,Flutter+Firebase,13,68500,60 000–120 000 ₽
317,Скрипт обработки изображений,Автоматизация и скрипты,n8n,8,2000,до 5 000 ₽
318,Приложение для записи к врачу,Мобильное приложение,Flutter,26,35000,30 000–60 000 ₽
319,Компонент загрузки файлов,UI-компонент,React+TypeScript,3,10000,5 000–15 000 ₽
320,Докеризация приложения,CI/CD и DevOps,Docker Compose,5,10900,5 000–15 000 ₽
321,Вёрстка дашборда аналитики,Вёрстка,Next.js+SCSS,14,7000,5 000–15 000 ₽
322,Лендинг для службы доставки,Лендинг,HTML+CSS+JS,13,7000,5 000–15 000 ₽
323,API управления заказами,Написание API,Kotlin+Ktor,15,20000,15 000–30 000 ₽
324,Accordion FAQ,UI-компонент,React+TypeScript,6,7000,5 000–15 000 ₽
325,API управления заказами,Написание API,FastAPI+PostgreSQL,12,14000,5 000–15 000 ₽
326,UX-аудит сайта,UI/UX Дизайн,Adobe XD,17,6000,5 000–15 000 ₽
327,API для мобильного приложения,Написание API,Go+Gin,17,17200,15 000–30 000 ₽
328,GraphQL API для портала,Написание API,Django REST,3,9000,5 000–15 000 ₽
329,Вёрстка страницы оформления заказа,Вёрстка,HTML+Bootstrap 5,3,3000,до 5 000 ₽
330,Ювелирный интернет-магазин,Интернет-магазин,Django+React,32,57500,30 000–60 000 ₽
331,Дизайн дашборда аналитики,UI/UX Дизайн,Adobe XD,19,13000,5 000–15 000 ₽
332,Лендинг для event-агентства,Лендинг,WordPress,9,6000,5 000–15 000 ₽
333,Вёрстка email-шаблона,Вёрстка,HTML+CSS+BEM,7,6800,5 000–15 000 ₽
334,Продающий лендинг для SaaS,Лендинг,HTML+CSS+JS,21,5100,5 000–15 000 ₽
335,Дашборд с графиками,UI-компонент,Vue.js,3,3500,до 5 000 ₽
336,Миграция на новый VPS,CI/CD и DevOps,Terraform+AWS,1,21500,15 000–30 000 ₽
337,Вёрстка административной панели,Вёрстка,React+CSS Modules,12,10500,5 000–15 000 ₽
338,API управления заказами,Написание API,NestJS+TypeScript,17,16000,15 000–30 000 ₽
339,API управления заказами,Написание API,Node.js+Express,7,12000,5 000–15 000 ₽
340,Accordion FAQ,UI-компонент,React+Tailwind,6,5000,5 000–15 000 ₽
341,Лендинг для детского лагеря,Лендинг,React,7,6000,5 000–15 000 ₽
342,Переписать N+1 в ORM,Оптимизация SQL,PostgreSQL+ORM,3,5000,5 000–15 000 ₽
343,Адаптивная вёрстка корпоративного сайта,Вёрстка,HTML+Tailwind,9,9000,5 000–15 000 ₽
344,Миграция на новый VPS,CI/CD и DevOps,Docker Compose,3,6000,5 000–15 000 ₽
345,Классификация обращений,ML-модель,scikit-learn+pandas,18,19500,15 000–30 000 ₽
346,Ювелирный интернет-магазин,Интернет-магазин,React+Node.js,35,67000,60 000–120 000 ₽
347,Вёрстка email-шаблона,Вёрстка,React+CSS Modules,3,5000,5 000–15 000 ₽
348,Прогноз оттока клиентов,ML-модель,XGBoost+CatBoost,18,15000,15 000–30 000 ₽
349,Дизайн email-шаблона,UI/UX Дизайн,Figma+Lottie,8,14000,5 000–15 000 ₽
350,Лендинг для event-агентства,Лендинг,HTML+Bootstrap,14,5000,5 000–15 000 ₽
351,Анализ тональности отзывов,ML-модель,TensorFlow,18,15000,15 000–30 000 ₽
352,Мониторинг цен конкурентов,Парсинг данных,Python+requests,12,4000,до 5 000 ₽
353,Автовыгрузка данных в Excel,Автоматизация и скрипты,Bash+Python,12,7000,5 000–15 000 ₽
354,Лендинг для службы доставки,Лендинг,WordPress,9,8000,5 000–15 000 ₽
355,Вёрстка личного кабинета,Вёрстка,HTML+Bootstrap 5,8,4000,до 5 000 ₽
356,Nginx+SSL+reverse proxy,CI/CD и DevOps,Docker+GitHub Actions,5,15500,15 000–30 000 ₽
357,Ювелирный интернет-магазин,Интернет-магазин,Laravel+Vue,9,44000,30 000–60 000 ₽
358,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Adobe XD,7,13500,5 000–15 000 ₽
359,Вёрстка административной панели,Вёрстка,React+CSS Modules,4,6000,5 000–15 000 ₽
360,Лендинг с видео-фоном и анимацией,Лендинг,Next.js,13,8000,5 000–15 000 ₽
361,Дашборд с графиками,UI-компонент,React+Storybook,6,8800,5 000–15 000 ₽
362,Интернет-магазин одежды,Интернет-магазин,1C-Bitrix,13,55000,30 000–60 000 ₽
363,API интеграции с 1С,Написание API,Node.js+Express,3,13000,5 000–15 000 ₽
364,Страница для сбора заявок,Лендинг,HTML+Bootstrap,12,8000,5 000–15 000 ₽
365,Рекомендательная система,ML-модель,XGBoost+CatBoost,8,26000,15 000–30 000 ₽
366,Маркетплейс для мастеров,Интернет-магазин,React+Node.js,10,81000,60 000–120 000 ₽
367,Оптимизация агрегатов ClickHouse,Оптимизация SQL,PostgreSQL,1,6000,5 000–15 000 ₽
368,API интеграции с 1С,Написание API,Spring Boot,17,22000,15 000–30 000 ₽
369,Маркетплейс для мастеров,Интернет-магазин,1C-Bitrix,9,20400,15 000–30 000 ₽
370,Платформа онлайн-курсов с оплатой,Fullstack-разработка,React+Spring Boot,40,63000,60 000–120 000 ₽
371,Компонент загрузки файлов,UI-компонент,Angular,2,9000,5 000–15 000 ₽
372,UX-аудит сайта,UI/UX Дизайн,Figma+Lottie,2,19000,15 000–30 000 ₽
373,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+Bootstrap 5,3,4500,до 5 000 ₽
374,Лендинг для фитнес-клуба,Лендинг,HTML+CSS+JS,13,8000,5 000–15 000 ₽
375,Автоматизация отчётности Google Sheets,Автоматизация и скрипты,n8n,4,6600,5 000–15 000 ₽
376,Приложение трекинга тренировок,Мобильное приложение,Kotlin (Android),44,70000,60 000–120 000 ₽
377,Вёрстка мобильного меню,Вёрстка,Vue.js+CSS,13,7700,5 000–15 000 ₽
378,Компонент загрузки файлов,UI-компонент,React+Tailwind,5,12000,5 000–15 000 ₽
379,Скрипт обработки изображений,Автоматизация и скрипты,Bash+Python,10,4000,до 5 000 ₽
380,Переписать N+1 в ORM,Оптимизация SQL,SQL Server,9,5000,5 000–15 000 ₽
381,UX-аудит сайта,UI/UX Дизайн,Figma,17,17000,15 000–30 000 ₽
382,Автобэкапы PostgreSQL,CI/CD и DevOps,Kubernetes+Helm,3,20800,15 000–30 000 ₽
383,Дизайн дашборда аналитики,UI/UX Дизайн,Figma+FigJam,18,21800,15 000–30 000 ₽
384,Вёрстка формы wizard,Вёрстка,HTML+CSS+BEM,5,5000,5 000–15 000 ₽
385,Карусель с лайтбоксом,UI-компонент,React+TypeScript,3,4000,до 5 000 ₽
386,React-таблица с сортировкой,UI-компонент,React+Tailwind,1,9000,5 000–15 000 ₽
387,Webhook-интеграция с Telegram,Написание API,Node.js+Express,18,9500,5 000–15 000 ₽
388,Вёрстка административной панели,Вёрстка,Next.js+SCSS,1,9500,5 000–15 000 ₽
389,Ускорение отчётов PostgreSQL,Оптимизация SQL,PostgreSQL,8,9800,5 000–15 000 ₽
390,Мультивендорный магазин,Интернет-магазин,1C-Bitrix,35,29000,15 000–30 000 ₽
391,Докеризация приложения,CI/CD и DevOps,Docker Compose,4,9500,5 000–15 000 ₽
392,Вёрстка email-шаблона,Вёрстка,HTML+Bootstrap 5,13,6300,5 000–15 000 ₽
